content,score,sentimen,content_clean
Sejauh ini bagus.hanya saja dlm hitungan menit atau detik usia kulit bisa berbeda jauh beda 5 menit foto tiba tiba usia jadi beda jauh dari 20an bsa jadi 39 thn.agak mengecewakan,1,0,bagus dlm hitungan menit detik usia kulit berbeda beda menit foto usia beda an bsa thn mengecewakan
"Gk bisa masuk akun selain email sama fb?? Ak gk punya fb, ak lupa email ku,,, maaf agk mengecewakan",2,0,gk masuk akun email fb ak gk fb ak lupa email ku maaf agk mengecewakan
Berguna sekali,3,0,berguna
Alhamdulillah,3,0,alhamdulillah
Saat saya selfi pasti langsung keluar tidak bisa dipakai sama sekali,1,0,selfi langsung dipakai
Bagus,3,0,bagus
Oke,3,0,oke
suka banget sama app nya. bisa banget buat kalian yg lagi punya masalah kulit dan pengin mengembalikan kulit wajah kalian seperti semula..,3,0,suka banget app nya banget yg kulit pengin mengembalikan kulit wajah
Lumayan lah,3,0,lumayan
Susah bnget pkenya....  Sebel,1,0,susah bnget pkenya sebel
😊bisa membantu,3,0,membantu
Cukup membantu,3,0,membantu
Jelek banget sekarang aku ga bisa nuker pointnya,1,0,jelek banget ga nuker pointnya
di aplikasi ini tidak bisa berpendapat atau tanya jawab jadi hanya bekerja sendiri,3,0,aplikasi berpendapat
Prett banget dah gitu gitu doang engga ada perubahan kaya sama sama aja testinya gak bgtu guna 😒,3,0,prett banget dah gitu gitu doang engga perubahan kaya aja testinya gak bgtu
good,3,0,good
Apa-apaan udah dari dua minggu nunggu produk yg direkomendasi gak Ada2,2,0,udah minggu nunggu produk yg direkomendasi gak
good,3,0,good
so far so good,3,0,so far so good
Gimana sih ini gak bisa create account dri tdi,1,0,gimana sih gak create account dri tdi
cukup baik untuk mengetahui kondisi kulit terkini,3,0,kondisi kulit terkini
Cukup baik,3,0,
3 dl,3,0,dl
oke l,1,0,oke l
"Bagus, saya berharap rekomendasi produk cepat rilis",3,0,bagus berharap rekomendasi produk cepat rilis
Produknya kok gk di kasitau yaa,3,0,produknya gk kasitau yaa
"Baru download, dan disuruh verifikasi email dan saat buka udah pilih link eeh malah eror terus",2,0,download disuruh verifikasi email buka udah pilih link eeh eror
"Blm tau gimana si,tapi menurut review di twt bagus hehe",3,0,blm tau gimana si review twt bagus hehe
umur tidak sesuai,2,0,umur sesuai
Gak bisa daftar akun pake email maupun fb.. gagal terus,1,0,gak daftar akun pake email fb gagal
stoveskin sekarang jelek.. gada analisis kulit... tinggal uninstal inu deh... pkokkknya jelekkkk,1,0,stoveskin jelek gada analisis kulit tinggal uninstal inu deh pkokkknya jelekkkk
Setelah diperbarui jurnal foto² lama hilang. Kalo mau akses foto lama harus update ke premium,1,0,diperbarui jurnal foto hilang kalo akses foto update premium
Cukup membantu,3,0,membantu
"Baguss bangeet, tapi dulu saya ga regist pakai email, data saya pas install lagi ga ke save :(",3,0,baguss bangeet ga regist pakai email data pas install ga save
"knpa gabisa diinstal ya, uda lebih dari 3kali padahal penyimpanan longgar Uda bisa diinstal, aku wes ganti hape",2,0,knpa gabisa diinstal uda kali penyimpanan longgar uda diinstal wes ganti hape
Bagus ko,3,0,bagus ko
Saya tidak bisa menampilkan usia dan persentase kondisi kulit,2,0,menampilkan usia persentase kondisi kulit
Lumayan,3,0,lumayan
tiap analisa hasilnya bagus tapi kulitnya gak sesuai dengan usia lebih parah lagi hasilnya lebih tua dengan usai sebenarnya.,3,0,analisa hasilnya bagus kulitnya gak sesuai usia parah hasilnya tua
"Lumayan ngebantu buat identify kuliyt, akurat nggaknya tergantung sm 
kualitas kamera masing2 yee",3,0,lumayan ngebantu identify kuliyt akurat nggaknya tergantung sm kualitas kamera yee
"Untuk analisis kulit masih kurang banget, bintik hitam bekas jerawat aja ga ke deteksi, terus alisku tipis masa dikata kerutan halus wkwk setipis itukah alisku 🤣",3,0,analisis kulit banget bintik hitam bekas jerawat aja ga deteksi alisku tipis dikata kerutan halus wkwk setipis alisku
baru mau coba2,3,0,coba
"Kamera burem, asik gagal loading",1,0,kamera burem asik gagal loading
Penipuan ini mah,1,0,penipuan mah
wee apa apaan ini!!! setiap mau login pake email atau facebook kok ga mau trs si!!!,1,0,wee login pake email facebook ga trs si
Ko jadi beda ya ? Masih bagusan yg versi lama,1,0,ko beda bagusan yg versi
di ciba dulu,3,0,ciba
Ga bisa login buang buang kuota aja !,1,0,ga login buang buang kuota aja
Nyoba dulu yh,3,0,nyoba yh
Kenapa selalu terjadi kesalahan padahal Internet saya lancar?,1,0,kesalahan internet lancar
"Loading lama banget, padahal aku buka apps lain biasa aja",1,0,loading banget buka apps aja
"Kok tiap menganalisa malah error,Aplikasi apaan kotol",1,0,menganalisa error aplikasi kotol
"Sangat bagus untuk pemula. Namun , karena saya pemula , jadi saya tidak mengerti skincare apa yg harus yg saya pakai. Meski di bawah telah tercantum , namun menurut saya ga semua kulit orang itu sama , jadi saya takut untuk mencoba produk itu. Terimakasih :)",3,0,bagus pemula pemula mengerti skincare yg yg pakai tercantum ga kulit orang takut mencoba produk terimakasih
Sangat bagus! saya suka.,1,0,bagus suka
Saya download sampai 3x tp kenapa tulisannya server eror terus y?? Mohon bantuannya terimakasih,3,0,download x tp tulisannya server eror y mohon bantuannya terimakasih
Lumayan berguna,3,0,lumayan berguna
bagus,3,0,bagus
coba dulu,3,0,coba
wah bagus nih,3,0,bagus nih
baguuus,2,0,baguuus
sangat membantu untuk mengecek kulit setiap hari,1,0,membantu mengecek kulit
masih dicoba,2,0,dicoba
Sgt mngcwakan skli,1,0,sgt mngcwakan skli
So bad,1,0,so bad
Bitang tiga dulu bari install,3,0,bitang bari install
Good,3,0,good
baguusss,3,0,baguusss
Kapan ada hadiah nya,2,0,hadiah nya
"Parah gabisa login, udah ngeluarin kuota gede tp nihil. Payah!!",1,0,parah gabisa login udah ngeluarin kuota gede tp nihil payah
Aplikasi ga jelas ga keluar saran produknya,1,0,aplikasi ga ga saran produknya
Nyobaa dulu keliatannya aplikasinya bagus,3,0,nyobaa keliatannya aplikasinya bagus
umur kulit nggak sesuai sama umur asli,3,0,umur kulit sesuai umur asli
masih dipantauu.. 😁,3,0,dipantauu
3 dulu bintangnya,3,0,bintangnya
"Aplikasi boongan nih. Padahal wajahku banyak bintik hitamnya tapi ditulis 
disitu gak ada bintik hitam.",1,0,aplikasi boongan nih wajahku bintik hitamnya ditulis disitu gak bintik hitam
This is a good Aplication. So nice,3,0,this is a good aplication so nice
Ok,3,0,
ini beneran apa gak sih?,3,0,beneran gak sih
baru mencoba.. sangat baguss,3,0,mencoba baguss
"Ini aplikasi just for fun dan promosi,4x check beda bbrp menit aj beda analisis. jadi jgn baper. Kalo mau analisis kulit ya ke klinik/dokter.",1,0,aplikasi just for fun promosi x check beda bbrp menit aj beda analisis jgn baper kalo analisis kulit klinik dokter
saya suka aplikasinya👌,3,0,suka aplikasinya
Wkwk bgs nii d suruh komen biar dpt poin ♡,3,0,wkwk bgs nii d suruh komen biar dpt poin
3 aja dlu ya,3,0,aja dlu
Sabar akutu,1,0,sabar akutu
Oke,3,0,oke
lumayan,3,0,lumayan
Erorr trus...  Nunggu lama juga!,1,0,erorr trus nunggu
Keluar terus,1,0,
Good,3,0,good
Dengan TroveSkin saya mulai belajar,3,0,troveskin belajar
"Tadinya saya kira ini bagus sekali. Tapi pas di coba, pendeteksinya tidak bisa terus. Saya kira jaringan saya error. Lalu dipqnggilqh tukqng service wifi. Eh, katanya baik-baik aja. Sampai saya ke tukang hp buat benerin hp saya yang saya kirq rusak. Ternyata aplikasinya. Maaf tapi saya kecewa.",1,0,bagus pas coba pendeteksinya jaringan error dipqnggilqh tukqng service wifi eh aja tukang hp benerin hp kirq rusak aplikasinya maaf kecewa
"Rekomendasi produk ada yg menampilkan produk yang malah sangat tidak cocok dulu pernah nyoba jerawatan eh malah jadi rekomendasi, emang apk g sesempurna apa yg kita rasa",3,0,rekomendasi produk yg menampilkan produk cocok nyoba jerawatan eh rekomendasi emang apk g sesempurna yg
Seru nih kayaknya,3,0,seru nih kayaknya
"suka banget, jadi bisa mengetahui jenis kulit",3,0,suka banget jenis kulit
3 dlu karna baru d coba,3,0,dlu karna d coba
Alhamdulillah membantu,3,0,alhamdulillah membantu
coba dlu,3,0,coba dlu
lumayanlah,3,0,lumayanlah
kasih bintang 3 dulu karena baru donlot. kalau kerjanya maksimal besok ditambah lagi❤,3,0,kasih bintang donlot kerjanya maksimal besok ditambah
Bermanfaat jadi tau update tentang skincare,3,0,bermanfaat tau update skincare
Ingin merubah penapilan,3,0,merubah penapilan
"Udh lama ga pake, jd Ga bs masuk lagi, loading terus2an",1,0,udh ga pake jd ga bs masuk loading an
Ko susah login sih,2,0,ko susah login sih
Ngak bisa masuk akun,1,0,ngak masuk akun
"Rekomendasi produk kurang banyak dan kebanyakan harganya yang mahal-mahal 
:') terus untuk analisanya kurang di bagian jerawat dan kulit berminyak, 
padahal penting sih cari skincare yg cocok buat jerawat",3,0,rekomendasi produk kebanyakan harganya mahal mahal analisanya jerawat kulit berminyak sih cari skincare yg cocok jerawat
Server selalu eror,2,0,server eror
"Apl ny jlek,,, msak gk sesuai umur trs mslh nya gak betul,,, jls2 bnyak bkas jrawat di bilang halus... Tlg donk gmn cara menghapus foto nya???  Udh nyari2 gimana cara hapus nya tp ttp aja gak ada dan gak bisa",1,0,apl ny jlek msak gk sesuai umur trs mslh nya gak jls bnyak bkas jrawat bilang halus tlg donk gmn menghapus foto nya udh nyari gimana hapus nya tp ttp aja gak gak
tiap buka kamera selalu keluar terus.  uninstal ajaa daah puft,1,0,buka kamera uninstal ajaa daah puft
good enough,3,0,good enough
"Omg tetep ga bisa buat akun saya udah coba ratusan kali juga, bad request dan error terus, jelek banget aplikasi, sangat sangat tidak recommended, saya kira udah dipromosiin sama beauty vlogger tuh udah bagu, taunya jelek sekali",1,0,omg tetep ga akun udah coba ratusan kali bad request error jelek banget aplikasi recommended udah dipromosiin beauty vlogger tuh udah bagu taunya jelek
"Aplikasi tidak bisa berjalan dengan baik, setelah mengambil gambar dan akan menganalisa tertulis bahwa tidak terkoneksi internet. Padahal loading berjalan lancar. Tolong diperbaiki karena aplikasi ini sangat bagus namun sayang jika mengecewakan.",1,0,aplikasi berjalan mengambil gambar menganalisa tertulis terkoneksi internet loading berjalan lancar diperbaiki aplikasi bagus sayang mengecewakan
Ngga bisa login,1,0,ngga login
Enak bual liat perubahan kulit,3,0,enak bual liat perubahan kulit
bermanfaat bgt,3,0,bermanfaat bgt
😂,3,0,
"Lumayan membantu,mohon diperbaiki lagi..",3,0,lumayan membantu mohon diperbaiki
baik,3,0,
Tidak bisa daftar lewat fb😡😡😡😡😡😡😡,1,0,daftar fb
aplikasi ini cukup bermanfaat menurut saya karena dengan aplikasi ini kita tau apa yang menjadi kendala bagi kulit kita sendiri.,1,0,aplikasi bermanfaat aplikasi tau kendala kulit
apk yg sangat membantu memahami kondisi kulit kita,3,0,apk yg membantu memahami kondisi kulit
"Aplikasi nggak bisa di pakai, mau daftar susah bgt gak bisa-bisa. Tolong di perbaiki",1,0,aplikasi pakai daftar susah bgt gak perbaiki
Bagus,3,0,bagus
Lumayan membantu ..,3,0,lumayan membantu
"Baru di instal aja udh error. Waktu mau mengambil foto, keluar paksa terus. Payah. Bad app.",1,0,instal aja udh error mengambil foto paksa payah bad app
"Apa apaan ini aplikasi tidak bisa di download, udab gabutuh lagi ya ? woi, padahal jaringan, kuota, memori oke, gue uda bela belain hapus memori dulu anjir",1,0,aplikasi download udab gabutuh woi jaringan kuota memori oke gue uda bela belain hapus memori anjir
😍😍😍,3,0,
yuhuu. rekomen buat kulit wajah kalian,3,0,yuhuu rekomen kulit wajah
kamera. buruk sekali,2,0,kamera buruk
gak bisa ngedekteksi wajah dengan akurat.  masa jerawat gak bisa dideteksi.  dikameranya mulus2 aja kayanya.,2,0,gak ngedekteksi wajah akurat jerawat gak dideteksi dikameranya mulus aja kayanya
Sedang mencoba,3,0,mencoba
Lumayan lah,3,0,lumayan
"Halo kak,,mau nanya nih kenapa ya setiap mau unggah foto tapi gagal terus udah coba berkali kali tetap gagal ?? Ada yg bisa bantu ??",3,0,halo kak nanya nih unggah foto gagal udah coba berkali kali gagal yg bantu
Udh di instal brapa kli kga bisa bisa sh,1,0,udh instal brapa kli kga sh
knp ga mau kebuka ya?,1,0,knp ga kebuka
"Informasi yg disediakan di app cukup membantu, tapi app tidak bisa digunakan untuk scan kulit; selalu keluar dari app ketika mengambil foto wajah",2,0,informasi yg disediakan app membantu app scan kulit app mengambil foto wajah
"Suka si, tapi rekomendasi produk belum ada. Mau nya d segeraian deh. Biar tau, cocoknya pake produk apa",3,0,suka si rekomendasi produk nya d segeraian deh biar tau cocoknya pake produk
"Mungkin poto nya agak ada efek jadi sgimana ya, padahal kulit saya ada 
milia nya dibawah mata",3,0,poto nya efek sgimana kulit milia nya dibawah mata
Lumayan bagus,3,0,lumayan bagus
Ssjauh ini bagus aku lasih 3 dulu nanti jika udh dpt hadiah aku ksih 5,3,0,ssjauh bagus lasih udh dpt hadiah ksih
bagus,3,0,bagus
Goodd,3,0,goodd
kok kamera buat selfi nya gabisa sih,1,0,kamera selfi nya gabisa sih
"ini dlu, pnambahan liat kdepan y..",1,0,dlu pnambahan liat kdepan y
semoga membantu,3,0,semoga membantu
internet saya bagus ko lancar tapi gamau,1,0,internet bagus ko lancar gamau
Kenapa gk bisa dibuka,1,0,gk dibuka
Lagi di coba niihh,3,0,coba niihh
gud,3,0,gud
Gakbisa cek wajah saya. Gagal mulu upload wajahnya,1,0,gakbisa cek wajah gagal mulu upload wajahnya
aplikasi yang lumayan membantu mengetahui jenis kulit setiap orang,3,0,aplikasi lumayan membantu jenis kulit orang
Bagus,3,0,bagus
Udah terdownload gak bisa di buka,1,0,udah terdownload gak buka
Gimana cara tau klo produk apa yg cocok untuk kita,2,0,gimana tau klo produk yg cocok
"Kenapa sih setelah di update jadi ga bisa buat selfienya. Error time out 
terus.",1,0,sih update ga selfienya error time out
cukup menarik,3,0,menarik
usia kulitku kok tidak sesuai :(,3,0,usia kulitku sesuai
Kenapa stiap mau masuk pasti keluar sendiri,1,0,stiap masuk
"Saran, lebih baik hadiahnya diperbanyak",3,0,saran hadiahnya diperbanyak
Lumayan lah setidaknya bisa membantu mengetahui jenis kulit dan permasalahan yg sy alami,3,0,lumayan membantu jenis kulit permasalahan yg sy alami
oke,3,0,oke
Kembqntu dalam menganalisis kualitas kulit,3,0,kembqntu menganalisis kualitas kulit
lagi dicoba karna dapat rekomendari dari temen,3,0,dicoba karna rekomendari temen
Blm coba jd 3 dlu y bintang nya:),3,0,blm coba jd dlu y bintang nya
"Kurang akurat... Kadang trlalu tua. Kdang trlalu muda. balita aj q buat umur msih 3 tahun, ehh nongol 23 tahun..😂😂😂.. #cekikikan jadiny",3,0,akurat kadang trlalu tua kdang trlalu muda balita aj q umur msih ehh nongol cekikikan jadiny
Bagusssss,3,0,bagusssss
"Yang produk itu sesuai dgn kulit saya apa gimana? Tkt nya nanti saya pgn beli produk itu yg ada kulit saya malah gak cocok dgn produk yg di ksh tau, tolong dong jlsin, apa itu produk cuma promosikan doang atau emng cocok buat muka saya?  Harap di bls!",3,0,produk sesuai dgn kulit gimana tkt nya pgn beli produk yg kulit gak cocok dgn produk yg ksh tau jlsin produk promosikan doang emng cocok muka harap bls
makin lama kaya kurang konten. coba hiring bagian sosmed yg baru wkwk topik nya dibikin lbh kreatif. konten nya juga jangan maksa. jadi bukan cuma skdr nambahin point,3,0,kaya konten coba hiring sosmed yg wkwk topik nya dibikin lbh kreatif konten nya maksa skdr nambahin point
Gimana cara buka recomendasi produknya sih min? Koq gk bisa*?,3,0,gimana buka recomendasi produknya sih min koq gk
Gtau hhahah,3,0,gtau hhahah
"hay sist, sebelumnya saya minta maaf belum bisa memberi bintang 5, dikarenakan saya tak puas dengan aplikasi ini, apalagi ketika setiap saya klik tombol kamera yg untuk selfie mengetahui jenis kulit saya selalu tidak bisa. selalu ada tulisan "" kesalahan terjadi kegesekan pada saat anda klik kamera mohon ulangi lagi"" seperti itu sis , jdi kiranya bisa di upgrade aplikasinya ini terutama di bagian kamera untuk selfie, karena jujur saja saya pengen tahu lebih banyak terkait jenis kulit wajah. thanx",3,0,hay sist maaf bintang puas aplikasi klik tombol kamera yg selfie jenis kulit tulisan kesalahan kegesekan klik kamera mohon ulangi sis jdi upgrade aplikasinya kamera selfie jujur pengen terkait jenis kulit wajah thanx
"Aplikasi apa-apaan ini, setelah di instal gak bisa di pke",1,0,aplikasi instal gak pke
Good,3,0,good
Gak akurat,1,0,gak akurat
Kenapa hadiahnya kosong truss ini gimanaa tolong diperbaiki,1,0,hadiahnya kosong truss gimanaa diperbaiki
umur kulit ko ga sesuai,3,0,umur kulit ko ga sesuai
lumayanlah,3,0,lumayanlah
"Sangat membantu kondisi kulit,  walaupum kesulitan di prodak yang sesuai tidak nisa di buka",3,0,membantu kondisi kulit walaupum kesulitan prodak sesuai nisa buka
Suka banget,3,0,suka banget
"aplikasi gak berguna, jelas-jelas muka jerawatan dibilang bagus baik luar bisa. Dasar aplikasi bodong, nyari duit gini amat 😤",1,0,aplikasi gak berguna muka jerawatan dibilang bagus dasar aplikasi bodong nyari duit gini
😂😂,1,0,
", udah pake wifi tetep aja tidak dapat memuat konten 😣😥",3,0,udah pake wifi tetep aja memuat konten
Aplikasi gak jelas🙄,1,0,aplikasi gak
Tiba2 camera mode beauty harusnya di mode biasa agar lebih jelas dan menurutku krg akurat jga pdhl lagi berjerawat tpi pointnya 90an,2,0,camera mode beauty mode menurutku krg akurat jga pdhl berjerawat tpi pointnya an
"Suka bgt, sangat membantuu",1,0,suka bgt membantuu
Love,3,0,love
Cukup seru,3,0,seru
Cukup membantu,3,0,membantu
"Waktu mau log in, pakek email gk bisa, padahal email aktif, pakek facebook 
juga cuma muter doang, kagak log in log in, itu kenapa yaah",3,0,log in pakek email gk email aktif pakek facebook muter doang kagak log in log in yaah
baru download saya kasih bintang 3 dulu karna udah membantu saya,3,0,download kasih bintang karna udah membantu
Semoga lebih baik,3,0,semoga
Ga jelas,1,0,ga
Membantu mengetahui masalah kulit,3,0,membantu kulit
"Susah log in nya sih,, pdhal jaringan 4g",1,0,susah log in nya sih pdhal jaringan g
baru mencoba,3,0,mencoba
Ko kaya gini,3,0,ko kaya gini
Baik,3,0,
👍🏿,3,0,
Sejauh ini masih bermanfaat,3,0,bermanfaat
Masih mencoba,1,0,mencoba
"lebih di akuratkan lagi untuk rekomendasi produk perawatannya. masak itu2 
aja dan tidak ada brand high.end",3,0,akuratkan rekomendasi produk perawatannya masak aja brand high end
Mayan demi point wkwk,2,0,mayan point wkwk
👍👍,3,0,
Nice,3,0,nice
sangat membantu,3,0,membantu
Bs d bilang bagus si. Cmn lama nunggu nya-_-,3,0,bs d bilang bagus si cmn nunggu nya
Aplikasi gagal,1,0,aplikasi gagal
"Gk jelas , apk apaan nihh?  Tips buat promot jual barang?",1,0,gk apk nihh tips promot jual barang
sangat membantu,3,0,membantu
"baru mau coba ni, kalo ok nanti aku tambah bintangnya",3,0,coba ni kalo bintangnya
Good,3,0,good
admin gimana ya masa gara2 download aplikasi ini kamera saya bermasalah tolong di perbaiki lagi aplikasi nya admin. Terima kasih...,1,0,admin gimana gara download aplikasi kamera bermasalah perbaiki aplikasi nya admin terima kasih
good job,3,0,good job
Jadi ribet kayanya deh buat selfie g kaya sebelumnya,3,0,ribet kayanya deh selfie g kaya
Kenapa tidak bisa masuk ??,2,0,masuk
"Bagus aplikasi nya,untuk yang mau buat ngerawat wajah",3,0,bagus aplikasi nya ngerawat wajah
"Padahal ngikutin troveskin dari 2018 pas kelas 2 smk, seneng bisa liat perubahan kulit dari jaman masih jerawat parah sampe sekarang udah mendingan. Agak kecewa sih ternyata sekarang gak bisa liat foto yg dulu lagi, malah jadi berbayar:(",1,0,ngikutin troveskin pas kelas smk seneng liat perubahan kulit jaman jerawat parah sampe udah mendingan kecewa sih gak liat foto yg berbayar
bgus,3,0,bgus
love it,3,0,love it
aku suka dengan aplikasi ini,3,0,suka aplikasi
"Ini kok aplikasih jelek banget, maaf terpaksa uninstall",1,0,aplikasih jelek banget maaf terpaksa uninstall
ga bisa dibuka,1,0,ga dibuka
"Setelah uploading image, aplikasinya tidak berlanjut. Hanya stuck disana saja. Jadi ga berguna sama sekali",1,0,uploading image aplikasinya berlanjut stuck disana ga berguna
Lumayan baru coba,3,0,lumayan coba
ok,3,0,
Ini aplikasi yang belum siap ...,2,0,aplikasi
"Baru nyoba, semoga membantu",3,0,nyoba semoga membantu
bagus,3,0,bagus
"Jelek gak suka, lemottt banget",1,0,jelek gak suka lemottt banget
lumayan membantulah,3,0,lumayan membantulah
sangat bagus,3,0,bagus
2 dlu karna aku masih buingung banget. Hehehehehehe,2,0,dlu karna buingung banget hehehehehehe
Kamera ga bisa kebuka.. analisa apa'an.. org kamera ajah ga bsa kebuka...,1,0,kamera ga kebuka analisa an org kamera ajah ga bsa kebuka
"Aplikasi yg cukup baik,tetapi pada point brp kah saya bisa melihat produk yang ingin saya tukar?",3,0,aplikasi yg point brp produk tukar
"Cukup bantu,kontrol kondisi kulitku. ♡",3,0,bantu kontrol kondisi kulitku
"saya baru menginstal aplikasi ini,sejauh ini tidak ada masalah,cukup membantu saya dalam mengatasi kulit sensitif -berjerawat ini",3,0,menginstal aplikasi membantu mengatasi kulit sensitif berjerawat
baru coba. blm tau,2,0,coba blm tau
"Analisis kulit gak bekerja dgn baik,kulit aku yg lg kacau malah ditulis dlm keadaan sangat baik,masalah kulit aku gk terdeksi ,ada sedikit penyesalan pas download",1,0,analisis kulit gak dgn kulit yg lg kacau ditulis dlm kulit gk terdeksi penyesalan pas download
tes dulu ya,3,0,tes
Aplikasi kibul,1,0,aplikasi kibul
Lumayan,3,0,lumayan
Gak bisa login!,1,0,gak login
Kelamaan analisa wajahnya,2,0,analisa wajahnya
Buang buang kouta aplikasi sampah eror trusss,1,0,buang buang kouta aplikasi sampah eror trusss
Gk bisa dibuka,1,0,gk dibuka
"Baru download sih,,semoga bermanfaat dan kedepannya bisa jadi jauh lebih baik lagi. Mksh:)",3,0,download sih semoga bermanfaat kedepannya mksh
Wow,3,0,wow
lumayan,3,0,lumayan
Pembayaranny banyak,1,0,pembayaranny
"bagus, sayang artikelnya bahasa inggris, tidak bahasa indonesia",3,0,bagus sayang artikelnya bahasa inggris bahasa indonesia
Sangat bagus,3,0,bagus
good,3,0,good
"Analisa nya lama bnget padahal jaringan penuh, nunggu setengah jam pun gak keluar hasilnya",1,0,analisa nya bnget jaringan penuh nunggu jam gak hasilnya
"kasih 3 dulu bermanfaat buat aku, kalo bagus aku tambahin",3,0,kasih bermanfaat kalo bagus tambahin
Sngat membantu untuk bisa mengetahui kulit wajahku.Tnx,3,0,sngat membantu kulit wajahku tnx
kenapa tidak bisa di buka dengan email facebook & email google?? tolong di perbaiki agar bisa di buka.,2,0,buka email facebook email google perbaiki buka
"baru download, semoga membantu",3,0,download semoga membantu
"masih baru download, mudah-mudahan kedepannya ada hasil",2,0,download mudah mudahan kedepannya hasil
Br download analisis foto tp loading emage lama dan bbrp kali koneksi jaringan trputus pdhal sy drmh pk wifii aman. Td nya tertarik dgn app ini untuk konsult tp nyatanya kurang bagus nih,1,0,br download analisis foto tp loading emage bbrp kali koneksi jaringan trputus pdhal sy drmh pk wifii aman td nya tertarik dgn app konsult tp bagus nih
Ya kali kulit aku dibilang bagus ama luar biasa:v padahal mah nda:v tapi yaa lumayan lah,3,0,kali kulit dibilang bagus ama v mah nda v yaa lumayan
"Lama terupload fotonya k'. Lalu tantangan untuk dpt 250 poin tdk muncul smua, Itu bagaimana?",3,0,terupload fotonya k tantangan dpt poin tdk muncul smua
aku baru download sih tapi kayaknya bagus,3,0,download sih kayaknya bagus
Mayan laa bagus,3,0,mayan laa bagus
app ini sangat bagus,1,0,app bagus
Jelek pengen hapus account tp bermasalah terus.,1,0,jelek pengen hapus account tp bermasalah
Apk nya keren bisa liat jenis kulit kita kaya apa,3,0,apk nya keren liat jenis kulit kaya
Bagus dan sangat membantu..,3,0,bagus membantu
Lemot,3,0,lemot
"Saya awalnya tertarik, tapi setelah dicoba,tidak dapat meng upload foto hasil wajah, karna tidak tersanbung ke internet padahal saya pake wifi.. Mohon diperbaiki layanan nya..",1,0,tertarik dicoba meng upload foto hasil wajah karna tersanbung internet pake wifi mohon diperbaiki layanan nya
No face detected padahal sudah mengikuti seluruh instruksi dengan benar,1,0,no face detected mengikuti instruksi
"Baru coba si, mudah2an sesuai dg analisa dokter. Dan Q juga jadi tau permasalahan kulitku",3,0,coba si mudah an sesuai dg analisa dokter q tau permasalahan kulitku
Kalo Bagus d tmbhin,2,0,kalo bagus d tmbhin
"seru bisa tau kondisi muka, terus bisa tau juga treatment yg lagi digunakan bakalan cocok atau engga ke kulit. Tapi gak suka sama pengambilan kamera cuma bisa selfie gitu, seharusnya disediakan kamera belakang, karena kamera depan jaman now sudah ada filternya jadi gak asli gitu.",2,0,seru tau kondisi muka tau treatment yg cocok engga kulit gak suka pengambilan kamera selfie gitu disediakan kamera kamera jaman now filternya gak asli gitu
Good,3,0,good
Sekiranya kalo aplikasinya belum bagus atau sesuai yang di iklankan.. jangan pasang iklan sana sini aja soalnya kan pengguma Smartphone sebelum download biasanya liat review apk nya dulu bagus atau ga.. ini dari revieq nya jelek semua jadi nunda untuk di download sekian terimakasih,1,0,kalo aplikasinya bagus sesuai iklankan pasang iklan aja pengguma smartphone download liat review apk nya bagus ga revieq nya jelek nunda download sekian terimakasih
Kok gabisa ya :( Masuk pake email ataupun facebook,3,0,gabisa masuk pake email facebook
Baru download. Kalo bagus aku ganti bintangnya,3,0,download kalo bagus ganti bintangnya
Coba dulu,3,0,coba
menarik,3,0,menarik
"Mau download tapi liat komenan nya jadi males , kaya nya mengecewa kan ya app nya?",3,0,download liat komenan nya males kaya nya mengecewa app nya
Lumayan bagus,3,0,lumayan bagus
nice,3,0,nice
Anehh aplikasinya setiap kali mau di buka ga bisa terus keluar,1,0,anehh aplikasinya kali buka ga
Tidak bisa digunakan. Keluar terus,2,0,
Kenapa mau daftar ga bisa? Pakai email dibilang sandi/ emailnya salah. Pakai facebook malah kembali ke awal.. gajelas nih,2,0,daftar ga pakai email dibilang sandi emailnya salah pakai facebook gajelas nih
Cukup bagus untuk liat kondisi kulit kamu,3,0,bagus liat kondisi kulit
saya sudah suggest link ke beberapa teman dan mereka sudah analisis. tetapi tidak ada poin yg masuk :(,1,0,suggest link teman analisis poin yg masuk
"Aplikasinya tidak bisa di pakai,  error terus uda puluhan kali di coba",3,0,aplikasinya pakai error uda puluhan kali coba
Sepertinya bagus ya,3,0,bagus
Pas nganalisis ngerror mulu sih kak,1,0,pas nganalisis ngerror mulu sih kak
coba dulu,3,0,coba
ini kapan njer hadiahnya. gasabar nuker,1,0,njer hadiahnya gasabar nuker
"Saat sedang menganalisa foto kulit, aplikasi terhenti",1,0,menganalisa foto kulit aplikasi terhenti
Sangat membantu tentang perskincarean. Kembangkan terus yaa!!,3,0,membantu perskincarean kembangkan yaa
Idk,1,0,idk
Aplikasinya sangat bagus💙,3,0,aplikasinya bagus
Kok gaada hadiahnya sih udah lama padahal ditunggu tunggu gaada mulu,3,0,gaada hadiahnya sih udah ditunggu tunggu gaada mulu
Guuuudddd bisa menambah pengetahuan,3,0,guuuudddd menambah pengetahuan
"Sebelum ada pembaharuan apps ini sangat membantu cek kesehatan kulit wajah. Tp setelahnya, dibuka saja tidak bisa",3,0,pembaharuan apps membantu cek kesehatan kulit wajah tp setelahnya dibuka
"Bagus dalam menganalisis kulit, tapi masih kurang tepat",3,0,bagus menganalisis kulit
